# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.12.1

allplayernames::0ce8fc67-892e-4a04-8bf5-1c7646168f44, string, 800B47656E5F4D61646E657373
allplayernames::0d66a02b-004c-4953-a559-d06f16967010, string, 800852616E6479373736
allplayernames::0ec8fa68-ac56-47de-af4c-7d6cdfbbbc05, string, 800E47686F7374726561706572383537
allplayernames::1cfa57d4-af45-46fa-a7f3-d70675567262, string, 800862627676625F5954
allplayernames::2a6baa5e-bf5a-4d18-b91d-8814158d7bcb, string, 800E536368617474656E46616269616E
allplayernames::2d4a8766-0e0f-46ff-b6d5-5249196a8efe, string, 800941786F4D634C6F746C
allplayernames::2d6becc6-2a7d-4422-8ef5-6c0dcf8e0451, string, 800B4A61794A61793135303931
allplayernames::2e047d1a-f2cf-4080-bd3d-618937e301d0, string, 80066C69616E765F
allplayernames::2ec158eb-aa44-4d0e-9aef-2751d341b485, string, 800A505F695F785F615F6C5F
allplayernames::2f79ae0b-0e79-4cb5-9c5b-4bdf95fa9f46, string, 80096963687365696E6569
allplayernames::3bb7b6ea-bcce-4cbc-8f53-48a38ae483f6, string, 800B636F6F6B69656565313036
allplayernames::03e6f46b-2549-46e6-a385-51b46a35419b, string, 800A417066656C7361667431
allplayernames::4a6da52f-42b5-4564-baf5-b060e2a9772c, string, 800D4D6178694D696368656C736F6E
allplayernames::4f797837-9479-48d4-b9c4-271022280764, string, 8007416469637A6978
allplayernames::5d90f9bd-802d-4de8-9602-a1b31f4e365f, string, 801048656E6E696E6761757342617965726E
allplayernames::7f830de5-c856-46e5-9ee7-0d3ae41256cf, string, 800B4570696346697363686969
allplayernames::7ff32dcb-2725-44a9-85bb-7d0a170417d8, string, 800752656D70746F6E
allplayernames::8c63fceb-231a-4651-be2c-3cf112892068, string, 800F4A756C65734D696E65637261667431
allplayernames::9ea89e39-9c10-48c9-ad9b-772b397e45c2, string, 80086F6E6C79446F6D69
allplayernames::19e645e9-6662-45d6-b352-1b342b9c6658, string, 800F416C6578646572476577696E6E6572
allplayernames::24c6845c-cd84-41c3-bb2a-40de2462464d, string, 80094D635765746368656A
allplayernames::32a93f4d-2215-4072-ab1d-e82f6544f1ed, string, 8009556D75626572474847
allplayernames::35e3ad4c-a41e-41c3-b7f2-8584a2eb47ce, string, 800650616C746F78
allplayernames::48cfb139-7894-4856-8d29-49222ca292a5, string, 800F53686F776D61737465723144455343
allplayernames::53f77a2f-2c13-442c-b280-9b6237627789, string, 8009576F6C6C4861736532
allplayernames::54cf705a-88c3-4548-a6a4-8b7fb49c0215, string, 80094C696576656E676867
